WBS,Task_Name,Duration_Days,Status,Priority,Story_Points,Deliverables
"1","Phase 1: RSS Feed Reader & Infrastructure Foundation","","Done","","",""
"1.1","[P1-01] Domain & Cloud Infrastructure Setup","4.5 days","Done","Urgent",3,"Registered feedometer.com on Hostinger, configured Cloudflare DNS, SSL/TLS certificates, custom apex/www domain routing, and Cloudflare Pages hosting."
"1.2","[P1-02] GitHub Repository & Production Build Pipeline","4.5 days","Done","High",3,"Initialized GitHub repository, configured branch workflows, and implemented automated production minification engine (build.js) achieving -38% payload reduction."
"1.3","[P1-03] Cloudflare D1 Database & KV Schema Architecture","6 days","Done","High",4,"Created feedometer-db D1 database, defined publishers, feeds, and notify_signups tables with unique indexes, and bound FEEDS_KV for multi-tier global caching."
"1.4","[P1-04] Cloudflare Edge Worker API & Routing Engine","7.5 days","Done","Urgent",5,"Engineered stateless feedometer-worker.js with sub-10ms Edge Cache API (caches.default), KV fallback, /api/view, /api/catalog, /api/og, and /api/waitlist routes."
"1.5","[P1-05] Universal XML Parsing & Layer A Image Extraction","6 days","Done","High",4,"Built universal namespace-agnostic RSS 2.0 / Atom 1.0 parser with deep extraction for Media RSS (<media:content>, <media:thumbnail>), iTunes enclosures, and inline <img srcset>."
"1.6","[P1-06] URL Canonicalization, Deduplication & Safety Moderation","4.5 days","Done","High",3,"Implemented tracking parameter stripping (utm_*, fbclid), canonical article URL generation, atomic title-hash deduplication, and automated hate speech/extremism content filter."
"1.7","[P1-07] Server-Side Async Hero Image Enrichment & KV Caching","6 days","Done","High",4,"Added non-blocking ctx.waitUntil OpenGraph hero image extraction with per-article KV caching (og:<url>, 7-day TTL), eliminating all client-side scraping loops."
"1.8","[P1-08] Dynamic 25-Outlet Publisher Directory & D1 Seeding","4.5 days","Done","High",3,"Seeded 25 curated news publishers and sub-topics into D1 (seed_publishers.sql) with edge-cached /api/catalog route, stripping all hardcoded catalog JSON from frontend."
"1.9","[P1-09] Pure Presentation Frontend & Master Design System","6 days","Done","High",4,"Refactored feedometer-viewer.js to pure presentation (fetch -> render), declared master :root design tokens, standardized typography H1-H6, and unified .btn / .badge schemas."
"2","Phase 2: Personal Reader Fundamentals","","Active","","",""
"2.1","[P2-01] Authentication Foundation","6 days","Todo","Urgent",4,"Implement D1 user and session tables (users, sessions). Build password hashing (salted SHA-256), bearer token generation, session verification, POST /api/auth/register, POST /api/auth/login, POST /api/auth/logout, and GET /api/me to establish authenticated owner accounts from Day 1."
"2.2","[P2-02] Stream Engine (The Heart)","7.5 days","Todo","Urgent",5,"Build the core Stream Engine (/api/stream). Delivers multi-feed fusion (10 feeds -> 1 unified stream), universal JSON normalization ({id, title, summary, link, published, source, image}), cross-feed deduplication, and sub-100ms chronological sorting backed by multi-tier caching."
"2.3","[P2-03] User Feed Management & Folders","4.5 days","Todo","Urgent",3,"Implement D1-backed user subscriptions and folder hierarchy (user_sources, folders). Expose POST /api/follow, POST /api/unfollow, POST /api/folders/create, POST /api/folders/update, GET /api/my-feeds, and GET /api/my-folders with strict token authentication."
"2.4","[P2-04] Feed Discovery Engine","4.5 days","Todo","High",3,"Build keyword and catalog search engine (/api/discover?q=...). Queries D1 catalog with verified badges, presents category starter pills (News, Tech, Finance, AI, EV), and returns suggested feeds for rapid user acquisition."
"2.5","[P2-05] Universal Website Feed Builder & Newsletter Resolver","6 days","Todo","High",4,"Build universal website-to-feed ingestion tool (/api/builder). Probes input URLs, inspects <link rel=""alternate""> headers, auto-resolves creator platforms (Substack, Beehiiv, Ghost, Medium), and provides fallback Edge HTML article extraction with live preview."
"2.6","[P2-06] Personal Reader Actions (Starred, Read Later, History)","4.5 days","Todo","High",3,"Implement D1 tables for starred_articles, saved_articles, and read_history. Provide 1-click Star, Save Later, and Read/Unread tracking with endpoints POST /api/star, POST /api/save, GET /api/my-starred, GET /api/my-saved, and POST /api/read-history."
"2.7","[P2-07] Thematic Collections Engine","4.5 days","Todo","High",3,"Build custom thematic collections (collections, collection_sources). Enables users to bundle related feeds into specialized topic collections and generate collection-filtered composite streams (/api/collections/:id/stream)."
"3","Phase 3: Cloud Identity, D1 Persistence & Device Sync","","Planned","","",""
"3.1","[P3-01] Passwordless Magic Link & OAuth Authentication","6 days","Backlog","High",4,"Expand auth subsystem to support 1-click Magic Email Login (via Resend/Postmark) and Google/GitHub OAuth integrations with D1 user mapping."
"3.2","[P3-02] Bidirectional Cloud Sync Engine (D1 ◄► Local)","6 days","Backlog","High",4,"Build automatic background synchronization between client state and Cloudflare D1 database, ensuring instant multi-device continuity and offline resilience."
"3.3","[P3-03] User Profile & Persistent Cloud Preferences","3 days","Backlog","Medium",2,"Store user layout preferences, reading theme (dark/light/sepia), refresh frequencies, and default start pages in D1 user settings."
"3.4","[P3-04] Multi-Device Session Management & Live Broadcast","3 days","Backlog","Medium",2,"Handle secure HTTP-only session cookies and cross-tab BroadcastChannel communication for instant multi-tab status synchronization."
"4","Phase 4: Search, Curation & Discovery Platform","","Planned","","",""
"4.1","[P4-01] Global Feed Directory & Autodiscovery Search","4.5 days","Backlog","High",3,"Enhance feed search modal with category exploration, popularity rankings from D1, and real-time website URL RSS autodiscovery."
"4.2","[P4-02] Saved Searches & Dynamic Smart Feeds","4.5 days","Backlog","Medium",3,"Allow users to save recurring search queries as dynamic ""Smart Feeds"" that automatically aggregate matching articles across all subscribed feeds."
"4.3","[P4-03] Multi-Dimensional Article Tags & Categories","4.5 days","Backlog","Medium",3,"Implement custom tag pills on articles with tag filtering, allowing multi-label cross-categorization outside traditional folder hierarchies."
"4.4","[P4-04] Public Collections & Shareable Reading Lists","4.5 days","Backlog","Medium",3,"Generate unique public share links for user-curated feed bundles or article collections with custom branded landing cards."
"4.5","[P4-05] Feed Health, Uptime & Latency Diagnostics","3 days","Backlog","Low",2,"Provide an automated health monitoring dashboard showing feed response times, HTTP status codes, and last-successful-fetch timestamps."
"5","Phase 5: SaaS Automation, Alerting & Integrations","","Planned","","",""
"5.1","[P5-01] Edge Rules & Boolean Query Parser Engine","6 days","Backlog","High",4,"Build a serverless edge evaluation engine in Cloudflare Worker with full Boolean AST evaluation (AND, OR, NOT, exact quotes, nested parentheses, field targeting title:, source:, author:)."
"5.2","[P5-02] Notification Dispatcher (Email & Web Push)","6 days","Backlog","High",4,"Integrate real-time notification dispatching supporting Web Push API (VAPID) and instant email alerts via transactional mail API."
"5.3","[P5-03] Outbound Webhook Dispatcher","4.5 days","Backlog","Medium",3,"Trigger secure JSON POST webhook payloads to custom HTTP endpoints whenever high-priority keyword or filter rules match incoming articles."
"5.4","[P5-04] SaaS Integrations (Slack, Discord, Teams, Zapier)","6 days","Backlog","Medium",4,"Pre-built webhook connectors formatting article rich cards directly into Slack channels, Discord webhooks, Microsoft Teams, and Zapier triggers."
"5.5","[P5-05] Newsletter Digest Builder Studio","6 days","Backlog","Low",4,"A visual newsletter creator that compiles top starred/curated articles of the week into a responsive HTML email digest."
"6","Phase 6: Edge AI Intelligence Layer","","Planned","","",""
