ID,Project,Title,Description,Status,Priority,Estimate,Labels
"P1-01","Phase 1: RSS Feed Reader & Infrastructure Foundation","[P1-01] Domain & Cloud Infrastructure Setup","Registered feedometer.com on Hostinger, configured Cloudflare DNS, SSL/TLS certificates, custom apex/www domain routing, and Cloudflare Pages hosting.","Done","Urgent",3,"Tier-1;Phase-1"
"P1-02","Phase 1: RSS Feed Reader & Infrastructure Foundation","[P1-02] GitHub Repository & Production Build Pipeline","Initialized GitHub repository, configured branch workflows, and implemented automated production minification engine (build.js) achieving -38% payload reduction.","Done","High",3,"Tier-1;Phase-1"
"P1-03","Phase 1: RSS Feed Reader & Infrastructure Foundation","[P1-03] Cloudflare D1 Database & KV Schema Architecture","Created feedometer-db D1 database, defined publishers, feeds, and notify_signups tables with unique indexes, and bound FEEDS_KV for multi-tier global caching.","Done","High",4,"Tier-1;Phase-1"
"P1-04","Phase 1: RSS Feed Reader & Infrastructure Foundation","[P1-04] Cloudflare Edge Worker API & Routing Engine","Engineered stateless feedometer-worker.js with sub-10ms Edge Cache API (caches.default), KV fallback, /api/view, /api/catalog, /api/og, and /api/waitlist routes.","Done","Urgent",5,"Tier-1;Phase-1"
"P1-05","Phase 1: RSS Feed Reader & Infrastructure Foundation","[P1-05] Universal XML Parsing & Layer A Image Extraction","Built universal namespace-agnostic RSS 2.0 / Atom 1.0 parser with deep extraction for Media RSS (<media:content>, <media:thumbnail>), iTunes enclosures, and inline <img srcset>.","Done","High",4,"Tier-1;Phase-1"
"P1-06","Phase 1: RSS Feed Reader & Infrastructure Foundation","[P1-06] URL Canonicalization, Deduplication & Safety Moderation","Implemented tracking parameter stripping (utm_*, fbclid), canonical article URL generation, atomic title-hash deduplication, and automated hate speech/extremism content filter.","Done","High",3,"Tier-1;Phase-1"
"P1-07","Phase 1: RSS Feed Reader & Infrastructure Foundation","[P1-07] Server-Side Async Hero Image Enrichment & KV Caching","Added non-blocking ctx.waitUntil OpenGraph hero image extraction with per-article KV caching (og:<url>, 7-day TTL), eliminating all client-side scraping loops.","Done","High",4,"Tier-1;Phase-1"
"P1-08","Phase 1: RSS Feed Reader & Infrastructure Foundation","[P1-08] Dynamic 25-Outlet Publisher Directory & D1 Seeding","Seeded 25 curated news publishers and sub-topics into D1 (seed_publishers.sql) with edge-cached /api/catalog route, stripping all hardcoded catalog JSON from frontend.","Done","High",3,"Tier-1;Phase-1"
"P1-09","Phase 1: RSS Feed Reader & Infrastructure Foundation","[P1-09] Pure Presentation Frontend & Master Design System","Refactored feedometer-viewer.js to pure presentation (fetch -> render), declared master :root design tokens, standardized typography H1-H6, and unified .btn / .badge schemas.","Done","High",4,"Tier-1;Phase-1"
"P2-01","Phase 2: Personal Reader Fundamentals","[P2-01] Authentication Foundation","Implement D1 user and session tables (users, sessions). Build password hashing (salted SHA-256), bearer token generation, session verification, POST /api/auth/register, POST /api/auth/login, POST /api/auth/logout, and GET /api/me to establish authenticated owner accounts from Day 1.","Todo","Urgent",4,"Tier-1;Phase-2"
