WBS,Outline Level,Task Name,Duration (Days),Start Date,Finish Date,% Complete,Priority,Predecessors,Resource Names,Notes
"0","0","FeedOmeter Product Evolution (7-Phase Roadmap)","65 days","2026-09-01","2026-11-30","27%","High","","Engineering Team","Complete 7-Phase Engineering Roadmap and Architectural Evolution for FeedOmeter."
"1","1","Phase 1: RSS Feed Reader & Infrastructure Foundation","33 days","2026-09-01","2026-09-17","100%","High","","Lead Architect / Senior Fullstack","Phase 1: Status is Completed. Contains 9 discrete engineering tasks."
"1.1","2","[P1-01] Domain & Cloud Infrastructure Setup","3 days","2026-09-01","2026-09-17","100%","Urgent","","Fullstack Engineer","Registered feedometer.com on Hostinger, configured Cloudflare DNS, SSL/TLS certificates, custom apex/www domain routing, and Cloudflare Pages hosting."
"1.2","2","[P1-02] GitHub Repository & Production Build Pipeline","3 days","2026-09-01","2026-09-17","100%","High","3","Fullstack Engineer","Initialized GitHub repository, configured branch workflows, and implemented automated production minification engine (build.js) achieving -38% payload reduction."
"1.3","2","[P1-03] Cloudflare D1 Database & KV Schema Architecture","4 days","2026-09-01","2026-09-17","100%","High","4","Fullstack Engineer","Created feedometer-db D1 database, defined publishers, feeds, and notify_signups tables with unique indexes, and bound FEEDS_KV for multi-tier global caching."
"1.4","2","[P1-04] Cloudflare Edge Worker API & Routing Engine","5 days","2026-09-01","2026-09-17","100%","Urgent","5","Fullstack Engineer","Engineered stateless feedometer-worker.js with sub-10ms Edge Cache API (caches.default), KV fallback, /api/view, /api/catalog, /api/og, and /api/waitlist routes."
"1.5","2","[P1-05] Universal XML Parsing & Layer A Image Extraction","4 days","2026-09-01","2026-09-17","100%","High","6","Fullstack Engineer","Built universal namespace-agnostic RSS 2.0 / Atom 1.0 parser with deep extraction for Media RSS (<media:content>, <media:thumbnail>), iTunes enclosures, and inline <img srcset>."
"1.6","2","[P1-06] URL Canonicalization, Deduplication & Safety Moderation","3 days","2026-09-01","2026-09-17","100%","High","7","Fullstack Engineer","Implemented tracking parameter stripping (utm_*, fbclid), canonical article URL generation, atomic title-hash deduplication, and automated hate speech/extremism content filter."
"1.7","2","[P1-07] Server-Side Async Hero Image Enrichment & KV Caching","4 days","2026-09-01","2026-09-17","100%","High","8","Fullstack Engineer","Added non-blocking ctx.waitUntil OpenGraph hero image extraction with per-article KV caching (og:<url>, 7-day TTL), eliminating all client-side scraping loops."
"1.8","2","[P1-08] Dynamic 25-Outlet Publisher Directory & D1 Seeding","3 days","2026-09-01","2026-09-17","100%","High","9","Fullstack Engineer","Seeded 25 curated news publishers and sub-topics into D1 (seed_publishers.sql) with edge-cached /api/catalog route, stripping all hardcoded catalog JSON from frontend."
"1.9","2","[P1-09] 10-15% Pure Presentation Frontend & Master Design System","4 days","2026-09-01","2026-09-17","100%","High","10","Fullstack Engineer","Refactored feedometer-viewer.js to pure presentation (fetch -> render), declared master :root design tokens, standardized typography H1-H6, and unified .btn / .badge schemas."
"2","1","Phase 2: Personal Reader Fundamentals","18 days","2026-09-18","2026-09-28","0%","High","","Lead Architect / Senior Fullstack","Phase 2: Status is In Progress. Contains 7 discrete engineering tasks."
"2.1","2","[P2-01] Local Subscriptions & Personal Feed Library","3 days","2026-09-18","2026-09-28","0%","Urgent","","Fullstack Engineer","Implement local client-side subscription store using LocalStorage/IndexedDB. Allow users to subscribe/unsubscribe to feeds with instant visual confirmation and local library persistence without requiring login."
"2.2","2","[P2-02] Folders & Collections Hierarchy","3 days","2026-09-18","2026-09-28","0%","High","13","Fullstack Engineer","Build folder and collection management in the sidebar. Users can create, rename, delete folders and drag/move subscribed feeds into organized topic groups."
"2.3","2","[P2-03] Starred & Saved Articles System","2 days","2026-09-18","2026-09-28","0%","High","14","Fullstack Engineer","Add a 1-click Star/Bookmark button to article cards and full reader view. Provide a dedicated ""Starred"" view in the navigation bar with local bookmark storage."
"2.4","2","[P2-04] Mark Read / Unread & Reading History","3 days","2026-09-18","2026-09-28","0%","High","15","Fullstack Engineer","Track read article URLs with visual dimming on opened cards. Display live unread badge counters per feed/folder and provide a searchable Reading History timeline."
"2.5","2","[P2-05] OPML 2.0 Import & Export Engine","3 days","2026-09-18","2026-09-28","0%","Urgent","16","Fullstack Engineer","Create standard OPML 2.0 XML parser and exporter. Allows users to import feeds/folders from Feedly, Inoreader, or Apple News in 1 click and export their library anytime."
"2.6","2","[P2-06] Instant Article Search & In-Memory Filter","2 days","2026-09-18","2026-09-28","0%","Medium","17","Fullstack Engineer","Implement lightning-fast client-side keyword search across article titles, summaries, and authors within currently loaded feeds."
"2.7","2","[P2-07] Mobile-Optimized Reader Controls & Gestures","2 days","2026-09-18","2026-09-28","0%","Medium","18","Fullstack Engineer","Refine mobile drawer navigation, swipe-to-star, and swipe-to-dismiss gesture interactions for touchscreens conforming to the Master Design System."
"3","1","Phase 3: Cloud Identity, D1 Persistence & Device Sync","12 days","2026-09-29","2026-10-08","0%","High","","Lead Architect / Senior Fullstack","Phase 3: Status is Planned. Contains 4 discrete engineering tasks."
"3.1","2","[P3-01] Passwordless Magic Link & OAuth Authentication","4 days","2026-09-29","2026-10-08","0%","High","","Fullstack Engineer","Create secure Cloudflare D1 users table and JWT authentication pipeline supporting 1-click Magic Email Login (via Resend/Postmark) and Google/GitHub OAuth."
"3.2","2","[P3-02] Bidirectional Cloud Sync Engine (D1 ◄► Local)","4 days","2026-09-29","2026-10-08","0%","High","21","Fullstack Engineer","Build automatic background synchronization between local state and Cloudflare D1 database. Merges offline feeds and ensures instant multi-device continuity."
"3.3","2","[P3-03] User Profile & Persistent Cloud Preferences","2 days","2026-09-29","2026-10-08","0%","Medium","22","Fullstack Engineer","Store user layout settings, reading theme (dark/light/sepia), refresh frequencies, and default start pages in user profile preferences."
"3.4","2","[P3-04] Multi-Device Session Management & Live Broadcast","2 days","2026-09-29","2026-10-08","0%","Medium","23","Fullstack Engineer","Handle secure HTTP-only session cookies and cross-tab BroadcastChannel communication for instant multi-tab status synchronization."
"4","1","Phase 4: Search, Curation & Discovery Platform","14 days","2026-10-09","2026-10-20","0%","High","","Lead Architect / Senior Fullstack","Phase 4: Status is Planned. Contains 5 discrete engineering tasks."
"4.1","2","[P4-01] Global Feed Directory & Autodiscovery Search","3 days","2026-10-09","2026-10-20","0%","High","","Fullstack Engineer","Enhance feed search modal with category exploration, popularity rankings from D1, and real-time website URL RSS autodiscovery."
"4.2","2","[P4-02] Saved Searches & Dynamic Smart Feeds","3 days","2026-10-09","2026-10-20","0%","Medium","26","Fullstack Engineer","Allow users to save recurring search queries as dynamic ""Smart Feeds"" that automatically aggregate matching articles across all subscribed feeds."
"4.3","2","[P4-03] Multi-Dimensional Article Tags & Categories","3 days","2026-10-09","2026-10-20","0%","Medium","27","Fullstack Engineer","Implement custom tag pills on articles with tag filtering, allowing multi-label cross-categorization outside traditional folder hierarchies."
"4.4","2","[P4-04] Public Collections & Shareable Reading Lists","3 days","2026-10-09","2026-10-20","0%","Medium","28","Fullstack Engineer","Generate unique public share links for user-curated feed bundles or article collections with custom branded landing cards."
"4.5","2","[P4-05] Feed Health, Uptime & Latency Diagnostics","2 days","2026-10-09","2026-10-20","0%","Low","29","Fullstack Engineer","Provide an automated health monitoring dashboard showing feed response times, HTTP status codes, and last-successful-fetch timestamps."
"5","1","Phase 5: SaaS Automation, Alerting & Integrations","19 days","2026-10-21","2026-11-03","0%","High","","Lead Architect / Senior Fullstack","Phase 5: Status is Planned. Contains 5 discrete engineering tasks."
"5.1","2","[P5-01] Edge Rules & Keyword Matcher Engine","4 days","2026-10-21","2026-11-03","0%","High","","Fullstack Engineer","Build a serverless edge evaluation engine in Cloudflare Worker for regex keyword matching, author filters, and topic inclusion/exclusion rules."
"5.2","2","[P5-02] Notification Dispatcher (Email & Web Push)","4 days","2026-10-21","2026-11-03","0%","High","32","Fullstack Engineer","Integrate real-time notification dispatching supporting Web Push API (VAPID) and instant email alerts via transactional mail API."
"5.3","2","[P5-03] Outbound Webhook Dispatcher","3 days","2026-10-21","2026-11-03","0%","Medium","33","Fullstack Engineer","Trigger secure JSON POST webhook payloads to custom HTTP endpoints whenever high-priority keyword or filter rules match incoming articles."
"5.4","2","[P5-04] SaaS Integrations (Slack, Discord, Teams, Zapier)","4 days","2026-10-21","2026-11-03","0%","Medium","34","Fullstack Engineer","Pre-built webhook connectors formatting article rich cards directly into Slack channels, Discord webhooks, Microsoft Teams, and Zapier triggers."
"5.5","2","[P5-05] Newsletter Digest Builder Studio","4 days","2026-10-21","2026-11-03","0%","Low","35","Fullstack Engineer","A visual newsletter creator that compiles top starred/curated articles of the week into a responsive HTML email digest."
"6","1","Phase 6: Edge AI Intelligence Layer","15 days","2026-11-04","2026-11-16","0%","High","","Lead Architect / Senior Fullstack","Phase 6: Status is Planned. Contains 4 discrete engineering tasks."
"6.1","2","[P6-01] 1-Click Executive AI Article Summaries","4 days","2026-11-04","2026-11-16","0%","High","","Fullstack Engineer","Serverless LLM summarization pipeline via Cloudflare Workers AI (@cf/meta/llama-3-8b-instruct) generating concise 3-bullet executive takeaways."
"6.2","2","[P6-02] AI Topic Clustering & Semantic De-duplication","4 days","2026-11-04","2026-11-16","0%","High","38","Fullstack Engineer","Vector embedding generation via Workers AI (@cf/baai/bge-base-en-v1.5) and Cloudflare Vectorize to group cross-publisher articles on breaking stories into unified event clusters."
"6.3","2","[P6-03] Brand, Competitor & Executive Tracker","3 days","2026-11-04","2026-11-16","0%","Medium","39","Fullstack Engineer","Automated entity extraction and sentiment analysis tracking specific companies, brand mentions, and executive announcements across global feeds."
"6.4","2","[P6-04] AI Research Assistant & Interactive Q&A","4 days","2026-11-04","2026-11-16","0%","Low","40","Fullstack Engineer","Interactive AI chatbot enabling users to ask questions, extract key takeaways, and synthesize trends across saved article collections."
"7","1","Phase 7: Multi-Tenant Enterprise, Workspaces & APIs","14 days","2026-11-17","2026-11-30","0%","High","","Lead Architect / Senior Fullstack","Phase 7: Status is Planned. Contains 4 discrete engineering tasks."
"7.1","2","[P7-01] Multi-Tenant Team Workspaces Architecture","4 days","2026-11-17","2026-11-30","0%","Medium","","Fullstack Engineer","Implement multi-tenant workspace partitioning in Cloudflare D1 with workspace switcher, shared feed collections, and team member management."
"7.2","2","[P7-02] Role-Based Access Control (Admin/Editor/Viewer)","3 days","2026-11-17","2026-11-30","0%","Medium","43","Fullstack Engineer","Granular permissions granting Admins billing/member management, Editors feed/rule curation, and Viewers read-only dashboard access."
"7.3","2","[P7-03] Enterprise SSO (SAML / OIDC) & Audit Logs","4 days","2026-11-17","2026-11-30","0%","Low","44","Fullstack Engineer","Single Sign-On integration via Cloudflare Access / Okta / Azure AD with comprehensive compliance audit logging for team actions."
"7.4","2","[P7-04] Developer Public REST API & API Key Management","3 days","2026-11-17","2026-11-30","0%","Low","45","Fullstack Engineer","Expose secure REST API with API key token generation, rate limiting, and OpenAPI/Swagger interactive documentation."
