Issue id,Issue key,Issue Type,Summary,Description,Status,Priority,Story Points,Project key,Project name,Component,Creator,Created,Updated,Labels
"10001","FEED-1","Task","[P1-01] Domain & Cloud Infrastructure Setup","Registered feedometer.com on Hostinger, configured Cloudflare DNS, SSL/TLS certificates, custom apex/www domain routing, and Cloudflare Pages hosting.","Done","Urgent","3","P1","Phase 1: RSS Feed Reader & Infrastructure Foundation","Tier 1","Admin","2026-09-01 10:00:00","2026-09-18 10:00:00","Infrastructure,Hostinger,Cloudflare,Phase-1,Done"
"10002","FEED-2","Task","[P1-02] GitHub Repository & Production Build Pipeline","Initialized GitHub repository, configured branch workflows, and implemented automated production minification engine (build.js) achieving -38% payload reduction.","Done","High","3","P1","Phase 1: RSS Feed Reader & Infrastructure Foundation","Tier 1","Admin","2026-09-01 10:00:00","2026-09-18 10:00:00","DevOps,GitHub,Build,Phase-1,Done"
"10003","FEED-3","Task","[P1-03] Cloudflare D1 Database & KV Schema Architecture","Created feedometer-db D1 database, defined publishers, feeds, and notify_signups tables with unique indexes, and bound FEEDS_KV for multi-tier global caching.","Done","High","4","P1","Phase 1: RSS Feed Reader & Infrastructure Foundation","Tier 1","Admin","2026-09-01 10:00:00","2026-09-18 10:00:00","Database,D1,KV,Schema,Phase-1,Done"
"10004","FEED-4","Task","[P1-04] Cloudflare Edge Worker API & Routing Engine","Engineered stateless feedometer-worker.js with sub-10ms Edge Cache API (caches.default), KV fallback, /api/view, /api/catalog, /api/og, and /api/waitlist routes.","Done","Urgent","5","P1","Phase 1: RSS Feed Reader & Infrastructure Foundation","Tier 1","Admin","2026-09-01 10:00:00","2026-09-18 10:00:00","Backend,Worker,EdgeCache,Phase-1,Done"
"10005","FEED-5","Task","[P1-05] Universal XML Parsing & Layer A Image Extraction","Built universal namespace-agnostic RSS 2.0 / Atom 1.0 parser with deep extraction for Media RSS (<media:content>, <media:thumbnail>), iTunes enclosures, and inline <img srcset>.","Done","High","4","P1","Phase 1: RSS Feed Reader & Infrastructure Foundation","Tier 1","Admin","2026-09-01 10:00:00","2026-09-18 10:00:00","Backend,XML,Images,Phase-1,Done"
"10006","FEED-6","Task","[P1-06] URL Canonicalization, Deduplication & Safety Moderation","Implemented tracking parameter stripping (utm_*, fbclid), canonical article URL generation, atomic title-hash deduplication, and automated hate speech/extremism content filter.","Done","High","3","P1","Phase 1: RSS Feed Reader & Infrastructure Foundation","Tier 1","Admin","2026-09-01 10:00:00","2026-09-18 10:00:00","Backend,Security,Canonicalization,Phase-1,Done"
"10007","FEED-7","Task","[P1-07] Server-Side Async Hero Image Enrichment & KV Caching","Added non-blocking ctx.waitUntil OpenGraph hero image extraction with per-article KV caching (og:<url>, 7-day TTL), eliminating all client-side scraping loops.","Done","High","4","P1","Phase 1: RSS Feed Reader & Infrastructure Foundation","Tier 1","Admin","2026-09-01 10:00:00","2026-09-18 10:00:00","Backend,Worker,KV,Images,Phase-1,Done"
"10008","FEED-8","Task","[P1-08] Dynamic 25-Outlet Publisher Directory & D1 Seeding","Seeded 25 curated news publishers and sub-topics into D1 (seed_publishers.sql) with edge-cached /api/catalog route, stripping all hardcoded catalog JSON from frontend.","Done","High","3","P1","Phase 1: RSS Feed Reader & Infrastructure Foundation","Tier 1","Admin","2026-09-01 10:00:00","2026-09-18 10:00:00","Database,D1,Catalog,Phase-1,Done"
"10009","FEED-9","Task","[P1-09] 10-15% Pure Presentation Frontend & Master Design System","Refactored feedometer-viewer.js to pure presentation (fetch -> render), declared master :root design tokens, standardized typography H1-H6, and unified .btn / .badge schemas.","Done","High","4","P1","Phase 1: RSS Feed Reader & Infrastructure Foundation","Tier 1","Admin","2026-09-01 10:00:00","2026-09-18 10:00:00","Frontend,DesignSystem,UI,Phase-1,Done"
"10010","FEED-10","Task","[P2-01] Local Subscriptions & Personal Feed Library","Implement local client-side subscription store using LocalStorage/IndexedDB. Allow users to subscribe/unsubscribe to feeds with instant visual confirmation and local library persistence without requiring login.","To Do","Urgent","3","P2","Phase 2: Personal Reader Fundamentals","Tier 1","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-1,Frontend,Storage,Phase-2"
"10011","FEED-11","Task","[P2-02] Folders & Collections Hierarchy","Build folder and collection management in the sidebar. Users can create, rename, delete folders and drag/move subscribed feeds into organized topic groups.","To Do","High","3","P2","Phase 2: Personal Reader Fundamentals","Tier 1","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-1,Frontend,UI,Phase-2"
"10012","FEED-12","Task","[P2-03] Starred & Saved Articles System","Add a 1-click Star/Bookmark button to article cards and full reader view. Provide a dedicated ""Starred"" view in the navigation bar with local bookmark storage.","To Do","High","2","P2","Phase 2: Personal Reader Fundamentals","Tier 1","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-1,Frontend,UI,Phase-2"
"10013","FEED-13","Task","[P2-04] Mark Read / Unread & Reading History","Track read article URLs with visual dimming on opened cards. Display live unread badge counters per feed/folder and provide a searchable Reading History timeline.","To Do","High","3","P2","Phase 2: Personal Reader Fundamentals","Tier 1","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-1,Frontend,UI,Phase-2"
"10014","FEED-14","Task","[P2-05] OPML 2.0 Import & Export Engine","Create standard OPML 2.0 XML parser and exporter. Allows users to import feeds/folders from Feedly, Inoreader, or Apple News in 1 click and export their library anytime.","To Do","Urgent","3","P2","Phase 2: Personal Reader Fundamentals","Tier 1","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-1,Frontend,Parser,Phase-2"
"10015","FEED-15","Task","[P2-06] Instant Article Search & In-Memory Filter","Implement lightning-fast client-side keyword search across article titles, summaries, and authors within currently loaded feeds.","To Do","Medium","2","P2","Phase 2: Personal Reader Fundamentals","Tier 1","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-1,Frontend,Search,Phase-2"
"10016","FEED-16","Task","[P2-07] Mobile-Optimized Reader Controls & Gestures","Refine mobile drawer navigation, swipe-to-star, and swipe-to-dismiss gesture interactions for touchscreens conforming to the Master Design System.","To Do","Medium","2","P2","Phase 2: Personal Reader Fundamentals","Tier 1","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-1,Frontend,Mobile,Phase-2"
"10017","FEED-17","Task","[P3-01] Passwordless Magic Link & OAuth Authentication","Create secure Cloudflare D1 users table and JWT authentication pipeline supporting 1-click Magic Email Login (via Resend/Postmark) and Google/GitHub OAuth.","Backlog","High","4","P3","Phase 3: Cloud Identity, D1 Persistence & Device Sync","Tier 1","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-1,Backend,Auth,D1,Phase-3"
"10018","FEED-18","Task","[P3-02] Bidirectional Cloud Sync Engine (D1 ◄► Local)","Build automatic background synchronization between local state and Cloudflare D1 database. Merges offline feeds and ensures instant multi-device continuity.","Backlog","High","4","P3","Phase 3: Cloud Identity, D1 Persistence & Device Sync","Tier 1","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-1,Backend,D1,Sync,Phase-3"
"10019","FEED-19","Task","[P3-03] User Profile & Persistent Cloud Preferences","Store user layout settings, reading theme (dark/light/sepia), refresh frequencies, and default start pages in user profile preferences.","Backlog","Medium","2","P3","Phase 3: Cloud Identity, D1 Persistence & Device Sync","Tier 1","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-1,Frontend,Backend,Phase-3"
"10020","FEED-20","Task","[P3-04] Multi-Device Session Management & Live Broadcast","Handle secure HTTP-only session cookies and cross-tab BroadcastChannel communication for instant multi-tab status synchronization.","Backlog","Medium","2","P3","Phase 3: Cloud Identity, D1 Persistence & Device Sync","Tier 1","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-1,Frontend,Security,Phase-3"
"10021","FEED-21","Task","[P4-01] Global Feed Directory & Autodiscovery Search","Enhance feed search modal with category exploration, popularity rankings from D1, and real-time website URL RSS autodiscovery.","Backlog","High","3","P4","Phase 4: Search, Curation & Discovery Platform","Tier 1","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-1,Tier-2,Discovery,Phase-4"
"10022","FEED-22","Task","[P4-02] Saved Searches & Dynamic Smart Feeds","Allow users to save recurring search queries as dynamic ""Smart Feeds"" that automatically aggregate matching articles across all subscribed feeds.","Backlog","Medium","3","P4","Phase 4: Search, Curation & Discovery Platform","Tier 2","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-2,Frontend,Search,Phase-4"
"10023","FEED-23","Task","[P4-03] Multi-Dimensional Article Tags & Categories","Implement custom tag pills on articles with tag filtering, allowing multi-label cross-categorization outside traditional folder hierarchies.","Backlog","Medium","3","P4","Phase 4: Search, Curation & Discovery Platform","Tier 2","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-2,Frontend,Backend,Phase-4"
"10024","FEED-24","Task","[P4-04] Public Collections & Shareable Reading Lists","Generate unique public share links for user-curated feed bundles or article collections with custom branded landing cards.","Backlog","Medium","3","P4","Phase 4: Search, Curation & Discovery Platform","Tier 2","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-2,Backend,Sharing,Phase-4"
"10025","FEED-25","Task","[P4-05] Feed Health, Uptime & Latency Diagnostics","Provide an automated health monitoring dashboard showing feed response times, HTTP status codes, and last-successful-fetch timestamps.","Backlog","Low","2","P4","Phase 4: Search, Curation & Discovery Platform","Tier 1","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-1,Diagnostics,Worker,Phase-4"
"10026","FEED-26","Task","[P5-01] Edge Rules & Keyword Matcher Engine","Build a serverless edge evaluation engine in Cloudflare Worker for regex keyword matching, author filters, and topic inclusion/exclusion rules.","Backlog","High","4","P5","Phase 5: SaaS Automation, Alerting & Integrations","Tier 2","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-2,Tier-3,RulesEngine,Worker,Phase-5"
"10027","FEED-27","Task","[P5-02] Notification Dispatcher (Email & Web Push)","Integrate real-time notification dispatching supporting Web Push API (VAPID) and instant email alerts via transactional mail API.","Backlog","High","4","P5","Phase 5: SaaS Automation, Alerting & Integrations","Tier 2","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-2,Notifications,Email,Phase-5"
"10028","FEED-28","Task","[P5-03] Outbound Webhook Dispatcher","Trigger secure JSON POST webhook payloads to custom HTTP endpoints whenever high-priority keyword or filter rules match incoming articles.","Backlog","Medium","3","P5","Phase 5: SaaS Automation, Alerting & Integrations","Tier 3","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-3,Webhooks,Backend,Phase-5"
"10029","FEED-29","Task","[P5-04] SaaS Integrations (Slack, Discord, Teams, Zapier)","Pre-built webhook connectors formatting article rich cards directly into Slack channels, Discord webhooks, Microsoft Teams, and Zapier triggers.","Backlog","Medium","4","P5","Phase 5: SaaS Automation, Alerting & Integrations","Tier 2","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-2,Integrations,SaaS,Phase-5"
"10030","FEED-30","Task","[P5-05] Newsletter Digest Builder Studio","A visual newsletter creator that compiles top starred/curated articles of the week into a responsive HTML email digest.","Backlog","Low","4","P5","Phase 5: SaaS Automation, Alerting & Integrations","Tier 2","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-2,Newsletter,Email,Phase-5"
"10031","FEED-31","Task","[P6-01] 1-Click Executive AI Article Summaries","Integrate Cloudflare Workers AI (@cf/meta/llama-3-8b-instruct) to generate concise 2-bullet executive summaries directly inside article cards with KV response caching.","Backlog","High","3","P6","Phase 6: Edge AI Intelligence Layer","Tier 3","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-3,AI,CloudflareWorkersAI,Phase-6"
"10032","FEED-32","Task","[P6-02] AI Topic Clustering & Semantic De-duplication","Use Cloudflare Vectorize / Text Embeddings to cluster breaking news stories across multiple publishers into single aggregated topic streams.","Backlog","Medium","4","P6","Phase 6: Edge AI Intelligence Layer","Tier 3","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-3,AI,Embeddings,Phase-6"
"10033","FEED-33","Task","[P6-03] Brand, Competitor & Executive Tracker","Automated entity extraction and sentiment analysis tracking specific companies, brand mentions, and executive announcements across global feeds.","Backlog","Medium","4","P6","Phase 6: Edge AI Intelligence Layer","Tier 3","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-3,AI,Monitoring,Phase-6"
"10034","FEED-34","Task","[P6-04] AI Research Assistant & Interactive Q&A","Interactive AI chatbot enabling users to ask questions, extract key takeaways, and synthesize trends across saved article collections.","Backlog","Low","4","P6","Phase 6: Edge AI Intelligence Layer","Tier 3","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-3,AI,RAG,Phase-6"
"10035","FEED-35","Task","[P7-01] Multi-Tenant Team Workspaces Architecture","Implement multi-tenant workspace partitioning in Cloudflare D1 with workspace switcher, shared feed collections, and team member management.","Backlog","Medium","4","P7","Phase 7: Multi-Tenant Enterprise, Workspaces & APIs","Tier 3","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-3,Enterprise,D1,Phase-7"
"10036","FEED-36","Task","[P7-02] Role-Based Access Control (Admin/Editor/Viewer)","Granular permissions granting Admins billing/member management, Editors feed/rule curation, and Viewers read-only dashboard access.","Backlog","Medium","3","P7","Phase 7: Multi-Tenant Enterprise, Workspaces & APIs","Tier 3","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-3,Enterprise,Security,Phase-7"
"10037","FEED-37","Task","[P7-03] Enterprise SSO (SAML / OIDC) & Audit Logs","Single Sign-On integration via Cloudflare Access / Okta / Azure AD with comprehensive compliance audit logging for team actions.","Backlog","Low","4","P7","Phase 7: Multi-Tenant Enterprise, Workspaces & APIs","Tier 3","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-3,Enterprise,SSO,Phase-7"
"10038","FEED-38","Task","[P7-04] Developer Public REST API & API Key Management","Expose secure REST API with API key token generation, rate limiting, and OpenAPI/Swagger interactive documentation.","Backlog","Low","3","P7","Phase 7: Multi-Tenant Enterprise, Workspaces & APIs","Tier 3","Admin","2026-09-18 10:00:00","2026-09-18 10:00:00","Tier-3,API,Developer,Phase-7"
